Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
t-shirt,T-shirt,"<meta charset=""utf-8""><span data-mce-fragment=""1"">Crafted from organic cotton, this classic T-shirt features a relaxed fit, crew neckline and timeless look.</span>",kapil-development,,"",Clothing,true,Size,XS,Color,Green,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",https://cdn.shopify.com/s/files/1/0629/5548/7370/files/RedTshirt01.webp?v=1701679974,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/GreenTshirt01.webp?v=1701679988,g,,,true,,,true,,,active
t-shirt,,,,,,,,,XS,,Olive,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",https://cdn.shopify.com/s/files/1/0629/5548/7370/files/GreenTshirt01.webp?v=1701679988,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/ClayTshirt01.webp?v=1701680027,g,,,,,,,,,
t-shirt,,,,,,,,,XS,,Ocean,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",https://cdn.shopify.com/s/files/1/0629/5548/7370/files/OceanTshirt01.webp?v=1701679998,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/OceanTshirt01.webp?v=1701679998,g,,,,,,,,,
t-shirt,,,,,,,,,XS,,Purple,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",https://cdn.shopify.com/s/files/1/0629/5548/7370/files/RedTshirt01_e4477746-c325-4703-9165-2f20947a4844.webp?v=1701680012,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/PurpleTshirt01.webp?v=1701680066,g,,,,,,,,,
t-shirt,,,,,,,,,XS,,Red,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",https://cdn.shopify.com/s/files/1/0629/5548/7370/files/ClayTshirt01.webp?v=1701680027,5,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/RedTshirt01.webp?v=1701679974,g,,,,,,,,,
t-shirt,,,,,,,,,S,,Green,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",https://cdn.shopify.com/s/files/1/0629/5548/7370/files/PurpleTshirt01.webp?v=1701680066,6,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/GreenTshirt01.webp?v=1701679988,g,,,,,,,,,
t-shirt,,,,,,,,,S,,Olive,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/ClayTshirt01.webp?v=1701680027,g,,,,,,,,,
t-shirt,,,,,,,,,S,,Ocean,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/OceanTshirt01.webp?v=1701679998,g,,,,,,,,,
t-shirt,,,,,,,,,S,,Purple,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/PurpleTshirt01.webp?v=1701680066,g,,,,,,,,,
t-shirt,,,,,,,,,S,,Red,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/RedTshirt01.webp?v=1701679974,g,,,,,,,,,
t-shirt,,,,,,,,,M,,Green,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/GreenTshirt01.webp?v=1701679988,g,,,,,,,,,
t-shirt,,,,,,,,,M,,Olive,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/ClayTshirt01.webp?v=1701680027,g,,,,,,,,,
t-shirt,,,,,,,,,M,,Ocean,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/OceanTshirt01.webp?v=1701679998,g,,,,,,,,,
t-shirt,,,,,,,,,M,,Purple,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/PurpleTshirt01.webp?v=1701680066,g,,,,,,,,,
t-shirt,,,,,,,,,M,,Red,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/RedTshirt01_e4477746-c325-4703-9165-2f20947a4844.webp?v=1701680012,g,,,,,,,,,
t-shirt,,,,,,,,,L,,Green,,,"",500.0,shopify,1000,deny,manual,1400.00,1900.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/5548/7370/files/GreenTshirt01.webp?v=1701679988,g,,,,,,,,,
